duration,credit_amount,savings_status,employment,property_magnitude,age,own_telephone,class
6,860,'<100','>=7','no known property',39,,good
12,682,'100<=X<500','4<=X<7',car,51,,good
36,5371,'<100','1<=X<4','life insurance',28,,good
18,1582,'>=1000','>=7',car,46,,good
6,1346,'100<=X<500','>=7','no known property',42,,good
10,1924,'<100','1<=X<4','life insurance',38,,good
36,5848,'<100','1<=X<4',car,24,,good
24,7758,'>=1000','>=7','no known property',29,,good
24,6967,'100<=X<500','4<=X<7',car,36,,good
12,1282,'<100','1<=X<4',car,20,,bad
9,1288,'100<=X<500','>=7','real estate',48,,good
12,339,'<100','>=7',car,45,,good
24,3512,'100<=X<500','4<=X<7',car,38,,good
6,1898,'no known savings','1<=X<4','real estate',34,,good
24,2872,'100<=X<500','>=7','real estate',36,,good
18,1055,'<100','<1','life insurance',30,,good
15,1262,'500<=X<1000','4<=X<7','life insurance',36,,good
10,7308,'<100',unemployed,'no known property',70,,good
36,909,'500<=X<1000','>=7','life insurance',36,,good
6,2978,'500<=X<1000','1<=X<4',car,32,,good
18,1131,'<100',unemployed,car,33,,bad
11,1577,'>=1000','<1','real estate',20,,good
24,3972,'<100','4<=X<7','life insurance',25,,good
24,1935,'<100','>=7','real estate',31,,bad
15,950,'<100','>=7',car,33,,bad
12,763,'<100','1<=X<4','real estate',26,,good
24,2064,'<100',unemployed,'life insurance',34,,bad
8,1414,'<100','1<=X<4','real estate',33,,good
21,3414,'<100','<1','life insurance',26,,bad
30,7485,'no known savings',unemployed,'real estate',53,,bad
12,2577,'<100','1<=X<4',car,42,,good
6,338,'500<=X<1000','>=7',car,52,,good
12,1963,'<100','4<=X<7',car,31,,good
21,571,'<100','>=7','real estate',65,,good
36,9572,'<100','<1',car,28,,bad
36,4455,'<100','1<=X<4','real estate',30,,bad
21,1647,'no known savings','1<=X<4','life insurance',40,,bad
24,3777,'>=1000','1<=X<4','real estate',50,,good
18,884,'<100','>=7',car,36,,bad
15,1360,'<100','1<=X<4','life insurance',31,,good
9,5129,'<100','>=7','no known property',74,,bad
16,1175,'<100',unemployed,car,68,,good
12,,'100<=X<500','4<=X<7','life insurance',20,,bad
18,,'<100','1<=X<4',car,33,,good
24,,'>=1000','1<=X<4','life insurance',54,,bad
48,,'100<=X<500','4<=X<7','no known property',34,,bad
27,,'<100','1<=X<4',car,36,,bad
6,,'<100','4<=X<7','real estate',29,,good
45,,'100<=X<500','1<=X<4','life insurance',21,,bad
9,1501,'<100','>=7',car,34,,bad
6,1382,'<100','1<=X<4',car,28,,good
12,951,'100<=X<500','<1',car,27,,bad
24,2760,'no known savings','>=7','no known property',36,,good
18,4297,'<100','>=7','no known property',40,,bad
9,936,'500<=X<1000','>=7',car,52,,good
12,1168,'<100','1<=X<4','real estate',27,,good
27,5117,'<100','4<=X<7',car,26,,good
12,902,'<100','4<=X<7','life insurance',21,,bad
12,1495,'<100','>=7','real estate',38,,good
30,10623,'<100','>=7','no known property',38,,good
12,1935,'<100','>=7','real estate',43,,good
12,1424,'<100','4<=X<7','life insurance',26,,good
24,6568,'<100','1<=X<4',car,21,,good
12,1413,'>=1000','4<=X<7','life insurance',55,,good
9,3074,'no known savings','1<=X<4','real estate',33,,good
36,3835,'no known savings','>=7','real estate',45,,good
27,5293,'<100',unemployed,'life insurance',50,,bad
30,1908,'<100','>=7','real estate',66,,bad
36,3342,'no known savings','>=7',car,51,,good
6,932,'no known savings','4<=X<7','life insurance',39,,good
18,3104,'<100','4<=X<7','life insurance',31,,good
36,3913,'<100','1<=X<4','real estate',23,,good
24,3021,'<100','1<=X<4','real estate',24,,good
10,1364,'<100','1<=X<4',car,64,,good
12,625,'<100','<1','real estate',26,,good
12,1200,'no known savings','1<=X<4','life insurance',23,,good
12,707,'<100','1<=X<4','real estate',30,,good
24,2978,'no known savings','1<=X<4','real estate',32,,good
15,4657,'<100','1<=X<4',car,30,,good
36,2613,'<100','1<=X<4',car,27,,good
48,10961,'>=1000','4<=X<7','no known property',27,,bad
12,7865,'<100','>=7','no known property',53,,bad
9,1478,'<100','4<=X<7',car,22,,bad
24,3149,'<100','<1','no known property',22,,good
36,4210,'<100','1<=X<4',car,26,,bad
9,2507,'500<=X<1000','>=7','no known property',51,,good
12,2141,'100<=X<500','4<=X<7','no known property',35,,good
18,866,'<100','1<=X<4','real estate',25,,good
4,1544,'<100','4<=X<7','real estate',42,,good
24,1823,'<100',unemployed,car,30,,bad
6,14555,'no known savings',unemployed,'life insurance',23,,bad
21,2767,'100<=X<500','>=7',car,61,,bad
12,1291,'<100','1<=X<4','life insurance',35,,good
30,2522,'<100','>=7','life insurance',39,,good
24,915,'no known savings','>=7',car,29,,bad
6,1595,'<100','4<=X<7','life insurance',51,,good
48,4605,'<100','>=7','no known property',24,,bad
12,1185,'<100','1<=X<4','real estate',27,,good
12,3447,'500<=X<1000','1<=X<4','real estate',35,,good
24,1258,'<100','4<=X<7','real estate',25,,good
12,717,'<100','>=7','real estate',52,,good
6,1204,'100<=X<500','1<=X<4','no known property',35,,good
24,1925,'<100','1<=X<4','real estate',26,,good
18,,'<100',unemployed,'real estate',22,,bad
6,,'>=1000','4<=X<7','real estate',39,,good
12,,'<100','1<=X<4',car,46,,good
30,,'<100','1<=X<4','no known property',24,yes,bad
24,,'100<=X<500','1<=X<4','life insurance',35,yes,good
9,,'no known savings','4<=X<7',car,24,yes,good
60,,'no known savings','1<=X<4','real estate',27,yes,good
24,,'<100','1<=X<4','real estate',35,yes,good
12,2149,'<100','1<=X<4','no known property',29,yes,bad
15,3812,'100<=X<500','<1',car,23,yes,good
11,1154,'100<=X<500',unemployed,'real estate',57,,good
12,1657,'<100','1<=X<4','real estate',27,,good
24,1603,'<100','>=7',car,55,,good
18,5302,'<100','>=7','no known property',36,,good
12,2748,'<100','>=7','no known property',57,,good
10,1231,'<100','>=7','real estate',32,,good
15,802,'<100','>=7',car,37,,bad
36,6304,'no known savings','>=7','real estate',36,,good
24,1533,'<100','<1',car,38,,good
14,8978,'<100','>=7','life insurance',45,,bad
24,999,'no known savings','>=7',car,25,,good
18,2662,'no known savings','4<=X<7','life insurance',32,,good
12,,'500<=X<1000','4<=X<7',car,37,,good
48,,'no known savings',unemployed,'no known property',36,,good
48,,'<100','4<=X<7','real estate',28,,bad
30,,'<100','<1','no known property',34,,bad
9,,'<100','1<=X<4','real estate',32,,good
18,2404,'<100','1<=X<4',car,26,,good
12,1262,'no known savings','>=7','life insurance',49,,good
6,4611,'<100','<1','life insurance',32,,bad
24,1901,'100<=X<500','1<=X<4',car,29,,good
15,3368,'>=1000','>=7','no known property',23,,good
12,1574,'<100','1<=X<4','real estate',50,,good
18,1445,'no known savings','4<=X<7',car,49,,good
15,1520,'no known savings','>=7','life insurance',63,,good
24,3878,'100<=X<500','<1',car,37,,good
47,10722,'<100','<1','real estate',35,,good
48,4788,'<100','4<=X<7','life insurance',26,,good
48,7582,'100<=X<500',unemployed,'no known property',31,,good
12,1092,'<100','1<=X<4','real estate',49,,good
24,1024,'<100','<1','real estate',48,,bad
12,1076,'<100','1<=X<4','real estate',26,,good
36,9398,'<100','<1',car,28,,bad
24,6419,'<100','>=7','no known property',44,,good
42,4796,'<100','>=7','no known property',56,,good
48,7629,'no known savings','>=7',car,46,,good
48,9960,'<100','<1',car,26,,bad
12,4675,'no known savings','<1',car,20,,good
10,1287,'no known savings','>=7','life insurance',45,,good
18,2515,'<100','1<=X<4','real estate',43,,good
21,2745,'>=1000','4<=X<7',car,32,,good
6,672,'<100',unemployed,'real estate',54,,good
36,3804,'<100','1<=X<4',car,42,,bad
24,1344,'no known savings','4<=X<7','real estate',37,,bad
10,1038,'<100','4<=X<7','life insurance',49,,good
48,10127,'500<=X<1000','1<=X<4','no known property',44,,bad
6,1543,'>=1000','1<=X<4','real estate',33,,good
30,4811,'no known savings','4<=X<7','life insurance',24,,good
12,727,'100<=X<500','<1','no known property',33,,bad
8,1237,'<100','1<=X<4','real estate',24,,bad
9,276,'<100','1<=X<4','real estate',22,,good
48,5381,'no known savings',unemployed,'no known property',40,,good
24,5511,'100<=X<500','1<=X<4',car,25,,good
24,3749,'<100','<1',car,26,,good
12,685,'<100','4<=X<7',car,25,,bad
4,1494,'no known savings','<1','real estate',29,,good
36,2746,'<100','>=7',car,31,,bad
12,708,'<100','1<=X<4','life insurance',38,,good
24,4351,'no known savings','1<=X<4','life insurance',48,,good
12,701,'<100','1<=X<4',car,32,,good
15,3643,'<100','>=7','life insurance',27,,good
30,4249,'<100',unemployed,car,28,,bad
24,1938,'<100','<1','life insurance',32,,bad
24,2910,'<100','4<=X<7','no known property',34,,good
18,2659,'>=1000','1<=X<4',car,28,,good
18,1028,'<100','1<=X<4','real estate',36,,good
8,3398,'<100','4<=X<7','real estate',39,,good
12,5801,'no known savings','>=7','life insurance',49,,good
24,1525,'>=1000','4<=X<7',car,34,,good
36,4473,'<100','>=7',car,31,,good
6,1068,'<100','>=7',car,28,,good
24,6615,'<100',unemployed,'no known property',75,,good
18,1864,'100<=X<500','1<=X<4','real estate',30,,bad
60,7408,'100<=X<500','<1','life insurance',24,,bad
48,11590,'100<=X<500','1<=X<4',car,24,,bad
24,4110,'<100','>=7','no known property',23,,bad
6,3384,'<100','1<=X<4','real estate',44,,bad
13,2101,'<100','<1','life insurance',23,,good
15,1275,'no known savings','1<=X<4',car,24,,bad
24,4169,'<100','1<=X<4','life insurance',28,,good
10,1521,'<100','1<=X<4',car,31,,good
24,5743,'<100','<1','no known property',24,none,good
21,3599,'<100','4<=X<7',car,26,none,good
18,,'500<=X<1000','<1','real estate',25,none,good
18,,'<100','>=7','real estate',33,none,good
10,,'<100','<1','life insurance',37,none,good
15,,'<100','1<=X<4',car,43,none,good
13,,'<100','<1','real estate',23,none,good
24,,'500<=X<1000',unemployed,'no known property',23,,good
6,,'100<=X<500','1<=X<4','real estate',34,,good
9,,'>=1000','>=7','no known property',32,,bad
9,1236,'<100','<1','real estate',23,,good
9,959,'<100','1<=X<4',car,29,,bad
18,3229,'no known savings',unemployed,'no known property',38,,good
12,6199,'<100','1<=X<4','life insurance',28,,bad
10,727,'500<=X<1000','>=7','no known property',46,,good
24,1246,'<100','<1','real estate',23,,bad
12,2331,'no known savings','>=7','real estate',49,,good
36,4463,'<100','1<=X<4',car,26,,bad
12,776,'<100','1<=X<4','real estate',28,,good
30,2406,'<100','4<=X<7','real estate',23,,bad
18,1239,'no known savings','1<=X<4','no known property',61,,good
12,3399,'no known savings','>=7',car,37,,good
12,2247,'<100','1<=X<4',car,36,,good
6,1766,'<100','1<=X<4','life insurance',21,,good
18,2473,'<100',unemployed,car,25,,bad
12,1542,'<100','4<=X<7',car,36,,good
18,3850,'<100','4<=X<7',car,27,,good
18,3650,'<100','<1',car,22,,good
36,3446,'<100','>=7',car,42,,bad
18,3001,'<100','4<=X<7','real estate',40,,good
36,3079,'no known savings','1<=X<4','real estate',36,,good
18,6070,'<100','>=7',car,33,,good
10,2146,'<100','<1','real estate',23,,good
60,13756,'no known savings','>=7','no known property',63,,good
60,14782,'100<=X<500','>=7','no known property',60,,bad
48,7685,'<100','4<=X<7',car,37,,bad
18,2320,'<100',unemployed,'real estate',34,,good
7,846,'no known savings','>=7','no known property',36,,good
36,14318,'<100','>=7','no known property',57,,bad
6,362,'100<=X<500','1<=X<4',car,52,,good
20,2212,'no known savings','4<=X<7',car,39,,good
18,12976,'<100',unemployed,'no known property',38,,bad
22,1283,'no known savings','4<=X<7','life insurance',25,,good
12,1330,'<100','<1','real estate',26,,good
30,4272,'100<=X<500','1<=X<4','life insurance',26,,good
18,2238,'<100','1<=X<4',car,25,,good
18,1126,'no known savings','<1','real estate',21,,good
18,7374,'<100',unemployed,'life insurance',40,,good
15,2326,'500<=X<1000','1<=X<4',car,27,,good
9,,'<100','4<=X<7',car,27,,good
18,,'<100','1<=X<4','life insurance',30,,good
12,,'>=1000','<1','real estate',19,,good
36,,'<100','4<=X<7','no known property',39,,good
6,1957,'<100','4<=X<7',car,31,,good
9,2406,'<100',unemployed,car,31,,good
39,11760,'100<=X<500','4<=X<7','no known property',32,,good
12,2578,'<100',unemployed,'no known property',55,,good
36,2348,'<100','1<=X<4','life insurance',46,,good
12,1223,'<100','>=7','real estate',46,,bad
24,1516,'>=1000','1<=X<4','real estate',43,,good
18,1473,'<100','<1','real estate',39,,good
18,1887,'no known savings','1<=X<4','real estate',28,,good
24,8648,'<100','<1',car,27,,bad
14,802,'<100','1<=X<4',car,27,,good
18,2899,'no known savings','>=7',car,43,,good
24,2039,'<100','<1','life insurance',22,,bad
24,2197,'no known savings','4<=X<7',car,43,,good
15,1053,'<100','<1','real estate',27,,good
24,3235,'500<=X<1000','>=7',car,26,,good
12,939,'500<=X<1000','4<=X<7','real estate',28,,bad
24,1967,'<100','>=7',car,20,,good
33,7253,'<100','4<=X<7',car,35,none,good
12,2292,'<100',unemployed,car,42,none,bad
10,1597,'500<=X<1000','1<=X<4','no known property',40,none,good
24,1381,'no known savings','1<=X<4','life insurance',35,,bad
36,5842,'<100','>=7','life insurance',35,,good
12,2579,'<100','<1','real estate',33,,bad
18,8471,'no known savings','1<=X<4',car,23,,good
21,2782,'500<=X<1000','4<=X<7',car,31,,good
18,1042,'no known savings','1<=X<4','life insurance',33,,bad
15,3186,'>=1000','4<=X<7',car,20,,good
12,2028,'no known savings','1<=X<4',car,30,,good
12,958,'<100','4<=X<7','real estate',47,,good
21,1591,'100<=X<500','4<=X<7','real estate',34,,good
12,2762,'no known savings','>=7','life insurance',25,,bad
18,2779,'<100','1<=X<4',car,21,,good
28,2743,'<100','>=7',car,29,,good
18,1149,'>=1000','1<=X<4','real estate',46,,good
9,1313,'<100','>=7',car,20,,good
18,1190,'<100',unemployed,'no known property',55,,bad
5,3448,'<100','4<=X<7','real estate',74,,good
24,11328,'<100','1<=X<4',car,29,,bad
6,1872,'<100',unemployed,'no known property',36,,good
24,2058,'<100','1<=X<4','real estate',33,,good
9,2136,'<100','1<=X<4','real estate',25,,good
12,1484,'no known savings','1<=X<4','real estate',25,,bad
6,660,'500<=X<1000','4<=X<7','real estate',23,,good
24,1287,'>=1000','>=7','real estate',37,,good
42,3394,'<100',unemployed,car,65,,good
12,609,'<100','<1','real estate',26,,bad
12,1884,'<100','>=7',car,39,,good
12,1620,'<100','1<=X<4','life insurance',30,,good
20,2629,'<100','1<=X<4',car,29,,good
12,719,'<100','>=7',car,41,,bad
48,5096,'<100','1<=X<4',car,30,,bad
9,1244,'no known savings','>=7','life insurance',41,,good
36,1842,'<100','<1',car,34,,bad
7,2576,'<100','1<=X<4','real estate',35,,good
12,1424,'no known savings','>=7','real estate',55,,good
15,1512,'>=1000','1<=X<4','life insurance',61,,bad
36,11054,'no known savings','1<=X<4',car,30,,good
6,518,'<100','1<=X<4','real estate',29,,good
12,2759,'<100','>=7','life insurance',34,,good
24,2670,'<100','>=7',car,35,,good
24,4817,'<100','4<=X<7','life insurance',31,,bad
24,2679,'<100','<1','no known property',29,,good
11,3905,'<100','1<=X<4','real estate',36,,good
12,3386,'<100','>=7','no known property',35,,bad
6,343,'<100','<1','real estate',27,,good
18,4594,'<100','<1',car,32,,good
36,3620,'<100','1<=X<4','life insurance',37,,good
15,1721,'<100','<1','real estate',36,,good
12,3017,'<100','<1','real estate',34,,good
12,754,'no known savings','>=7','life insurance',38,,good
18,1950,'<100','4<=X<7',car,34,,good
24,2924,'<100','1<=X<4','no known property',63,,good
24,1659,'<100','<1',car,29,,bad
48,7238,'no known savings','>=7',car,32,,good
33,2764,'<100','1<=X<4',car,26,,good
24,4679,'<100','4<=X<7',car,35,,good
24,3092,'100<=X<500','<1',car,22,,bad
6,448,'<100','<1','life insurance',23,,bad
9,654,'<100','1<=X<4',car,28,,bad
6,1238,'no known savings',unemployed,'life insurance',36,,good
18,1245,'<100','1<=X<4',car,33,,bad
18,3114,'<100','<1','life insurance',26,none,bad
39,2569,'500<=X<1000','1<=X<4',car,24,yes,good
24,5152,'<100','4<=X<7',car,25,yes,good
12,1037,'100<=X<500','4<=X<7','real estate',39,none,good
15,1478,'<100','>=7',car,44,none,good
12,3573,'<100','1<=X<4','real estate',23,,good
24,1201,'<100','<1','life insurance',26,,good
30,3622,'>=1000','>=7','life insurance',57,,good
15,960,'>=1000','4<=X<7','life insurance',30,,good
12,1163,'500<=X<1000','1<=X<4','real estate',44,,good
6,1209,'<100',unemployed,'life insurance',47,,bad
12,3077,'<100','1<=X<4',car,52,,good
24,3757,'<100','>=7','no known property',62,,good
10,1418,'100<=X<500','1<=X<4','real estate',35,,good
6,3518,'<100','1<=X<4','life insurance',26,,good
12,1934,'<100','>=7','no known property',26,,good
27,8318,'<100','>=7','no known property',42,,bad
6,1237,'100<=X<500','1<=X<4','life insurance',27,,good
6,368,'no known savings','>=7','life insurance',38,,good
12,,'<100','1<=X<4','real estate',39,,good
24,,'no known savings','1<=X<4',car,20,,bad
36,,'100<=X<500','<1','no known property',29,,bad
24,,'<100','4<=X<7','life insurance',40,,good
18,1301,'<100','>=7','real estate',32,,good
6,1323,'100<=X<500','>=7',car,28,,good
24,3123,'<100','<1','life insurance',27,,bad
36,5493,'<100','>=7','no known property',42,,good
9,1126,'100<=X<500','>=7','real estate',49,,good
24,1216,'100<=X<500','<1','no known property',38,,bad
24,1207,'<100','<1','life insurance',24,,bad
10,1309,'no known savings','1<=X<4','life insurance',27,,bad
15,2360,'500<=X<1000','1<=X<4',car,36,,good
15,6850,'100<=X<500',unemployed,'life insurance',34,,bad
24,1413,'<100','1<=X<4','life insurance',28,,good
39,8588,'100<=X<500','>=7',car,45,,good
12,759,'<100','4<=X<7','real estate',26,,bad
36,4686,'<100','1<=X<4','no known property',32,,good
15,2687,'<100','4<=X<7','life insurance',26,,good
12,585,'<100','1<=X<4','real estate',20,,good
24,2255,'no known savings','<1','life insurance',54,,good
6,609,'<100','4<=X<7','life insurance',37,,good
6,1361,'<100','<1','real estate',40,,good
36,7127,'<100','<1','life insurance',23,,bad
6,1203,'100<=X<500','>=7','life insurance',43,,good
6,700,'no known savings','>=7','no known property',36,,good
24,5507,'<100','>=7','no known property',44,,good
18,3190,'<100','1<=X<4','real estate',24,,bad
48,7119,'<100','1<=X<4','no known property',53,,bad
24,3488,'100<=X<500','4<=X<7',car,23,,good
18,1113,'<100','1<=X<4','real estate',26,,good
26,7966,'<100','<1',car,30,,good
15,1532,'100<=X<500','1<=X<4',car,31,,good
4,1503,'<100','4<=X<7','real estate',42,,good
36,2302,'<100','1<=X<4',car,31,,bad
6,662,'<100','<1','real estate',41,,good
36,2273,'<100','4<=X<7',car,32,,good
15,2631,'100<=X<500','1<=X<4',car,28,,bad
12,1503,'<100','1<=X<4','real estate',41,,good
24,1311,'100<=X<500','4<=X<7','life insurance',26,none,good
24,3105,'no known savings','<1',car,25,yes,good
21,2319,'<100','<1',car,33,yes,bad
6,1374,'no known savings',unemployed,'life insurance',75,none,good
18,3612,'<100','>=7','life insurance',37,none,good
48,7763,'<100','>=7','no known property',42,none,bad
18,3049,'<100','<1','life insurance',45,yes,good
12,,'<100','<1','real estate',23,yes,bad
24,2032,'<100','>=7','no known property',60,,good
30,,'no known savings','>=7','life insurance',31,,bad
18,2864,'<100','1<=X<4','real estate',34,,bad
12,1255,'<100','>=7','real estate',61,,good
24,1333,'<100',unemployed,'real estate',43,,bad
24,2022,'<100','1<=X<4',car,37,,good
24,1552,'<100','4<=X<7',car,32,,good
12,,'<100','1<=X<4','real estate',24,,bad
48,8858,'no known savings','4<=X<7','no known property',35,,good
12,996,'no known savings','4<=X<7','real estate',23,,good
6,1750,'500<=X<1000','>=7','life insurance',45,,good
48,6999,'<100','4<=X<7','real estate',34,,bad
12,1995,'100<=X<500','<1',car,27,,good
9,1199,'<100','4<=X<7','life insurance',67,,good
12,1331,'<100','<1',car,22,,bad
18,2278,'100<=X<500','<1',car,28,,bad
21,5003,'no known savings','1<=X<4','life insurance',29,,bad
24,3552,'<100','4<=X<7',car,27,,bad
18,1928,'<100','<1','real estate',31,,bad
24,2964,'no known savings','>=7','no known property',49,,good
24,1546,'<100','4<=X<7',car,24,,bad
6,683,'<100','<1','life insurance',29,,good
36,12389,'no known savings','1<=X<4','no known property',37,,bad
24,4712,'no known savings','1<=X<4','life insurance',37,,good
24,1553,'100<=X<500','4<=X<7','life insurance',23,,good
12,1372,'<100','4<=X<7',car,36,,bad
24,2578,'>=1000','>=7',car,34,,good
48,3979,'no known savings','4<=X<7',car,41,,good
48,6758,'<100','1<=X<4',car,31,,bad
24,3234,'<100','<1','real estate',23,,bad
30,5954,'<100','4<=X<7',car,38,,good
24,5433,'no known savings',unemployed,'life insurance',26,,good
