,race/ethnicity,parental level of education,lunch,test preparation course,math percentage,reading score percentage,writing score percentage,sex
91,group C,high school,free/reduced,none,0.27,0.34,0.36,M
92,group C,high school,standard,none,0.71,0.79,0.71,M
93,group C,associate's degree,free/reduced,completed,0.43,0.45,0.5,M
94,group B,some college,standard,none,0.79,0.86,0.92,F
95,group C,associate's degree,free/reduced,completed,0.78,0.81,0.82,M
96,group B,some high school,standard,completed,0.65,0.66,0.62,M
97,group E,some college,standard,completed,0.63,0.72,0.7,F
98,group D,some college,free/reduced,none,0.58,0.67,0.62,F
99,group D,bachelor's degree,standard,none,0.65,0.67,0.62,F
100,group B,some college,standard,none,0.79,0.67,0.67,M
101,group D,bachelor's degree,standard,completed,0.68,0.74,0.74,M
102,group D,associate's degree,standard,none,0.85,0.91,0.89,F
103,group B,high school,standard,completed,0.6,0.44,0.47,M
104,group C,some college,standard,completed,0.98,0.86,0.9,M
105,group C,some college,standard,none,0.58,0.67,0.72,F
106,group D,master's degree,standard,none,0.87,1.0,1.0,F
107,group E,associate's degree,standard,completed,0.66,0.63,0.64,M
108,group B,associate's degree,free/reduced,none,0.52,0.76,0.7,F
109,group B,some high school,standard,none,0.7,0.64,0.72,F
110,group D,associate's degree,free/reduced,completed,0.77,0.89,0.98,F
111,group C,high school,standard,none,0.62,0.55,0.49,M
112,group A,associate's degree,standard,none,0.54,0.53,0.47,M
113,group D,some college,standard,none,0.51,0.58,0.54,F
114,group E,bachelor's degree,standard,completed,0.99,1.0,1.0,F
115,group C,high school,standard,none,0.84,0.77,0.74,M
116,group B,bachelor's degree,free/reduced,none,0.75,0.85,0.82,F
117,group D,bachelor's degree,standard,none,0.78,0.82,0.79,F
118,group D,some high school,standard,none,0.51,0.63,0.61,F
119,group C,some college,standard,none,0.55,0.69,0.65,F
120,group C,bachelor's degree,standard,completed,0.79,0.92,0.89,F
121,group B,associate's degree,standard,completed,0.91,0.89,0.92,M
122,group C,some college,standard,completed,0.88,0.93,0.93,F
123,group D,high school,free/reduced,none,0.63,0.57,0.56,M
124,group E,some college,standard,none,0.83,0.8,0.73,M
125,group B,high school,standard,none,0.87,0.95,0.86,F
126,group B,some high school,standard,none,0.72,0.68,0.67,M
127,group D,some college,standard,completed,0.65,0.77,0.74,M
128,group D,master's degree,standard,none,0.82,0.82,0.74,M
129,group A,bachelor's degree,standard,none,0.51,0.49,0.51,F
130,group D,master's degree,standard,none,0.89,0.84,0.82,M
131,group C,some high school,free/reduced,completed,0.53,0.37,0.4,M
132,group E,some college,free/reduced,completed,0.87,0.74,0.7,M
133,group C,some college,standard,completed,0.75,0.81,0.84,F
134,group D,bachelor's degree,free/reduced,completed,0.74,0.79,0.75,M
135,group C,bachelor's degree,standard,none,0.58,0.55,0.48,M
136,group B,some high school,standard,completed,0.51,0.54,0.41,M
137,group E,high school,standard,none,0.7,0.55,0.56,M
138,group C,associate's degree,standard,none,0.59,0.66,0.67,F
139,group D,some college,standard,completed,0.71,0.61,0.69,M
140,group D,some high school,standard,none,0.76,0.72,0.71,F
141,group C,some college,free/reduced,none,0.59,0.62,0.64,F
142,group E,some college,free/reduced,completed,0.42,0.55,0.54,F
143,group A,high school,standard,none,0.57,0.43,0.47,M
144,group D,some college,standard,none,0.88,0.73,0.78,M
145,group C,some college,free/reduced,none,0.22,0.39,0.33,F
146,group B,some high school,standard,none,0.88,0.84,0.75,M
147,group C,associate's degree,free/reduced,none,0.73,0.68,0.66,M
148,group D,bachelor's degree,standard,completed,0.68,0.75,0.81,F
149,group E,associate's degree,free/reduced,completed,1.0,1.0,0.93,M
150,group A,some high school,standard,completed,0.62,0.67,0.69,M
151,group A,bachelor's degree,standard,none,0.77,0.67,0.68,M
152,group B,associate's degree,standard,completed,0.59,0.7,0.66,F
153,group D,bachelor's degree,standard,none,0.54,0.49,0.47,M
154,group D,some high school,standard,none,0.62,0.67,0.61,M
155,group C,some college,standard,completed,0.7,0.89,0.88,F
156,group E,high school,free/reduced,completed,0.66,0.74,0.78,F
157,group B,some college,free/reduced,none,0.6,0.6,0.6,M
158,group B,associate's degree,standard,completed,0.61,0.86,0.87,F
159,group D,associate's degree,free/reduced,none,0.66,0.62,0.64,M
160,group B,associate's degree,free/reduced,completed,0.82,0.78,0.74,M
161,group E,some college,free/reduced,completed,0.75,0.88,0.85,F
162,group B,master's degree,free/reduced,none,0.49,0.53,0.52,M
163,group C,high school,standard,none,0.52,0.53,0.49,M
164,group E,master's degree,standard,none,0.81,0.92,0.91,F
165,group C,bachelor's degree,standard,completed,0.96,1.0,1.0,F
166,group C,high school,free/reduced,completed,0.53,0.51,0.51,M
167,group B,master's degree,free/reduced,completed,0.58,0.76,0.78,F
168,group B,high school,standard,completed,0.68,0.83,0.78,F
169,group C,some college,free/reduced,completed,0.67,0.75,0.7,F
170,group A,high school,standard,completed,0.72,0.73,0.74,M
171,group E,some high school,standard,none,0.94,0.88,0.78,M
172,group D,some college,standard,none,0.79,0.86,0.81,F
173,group C,associate's degree,standard,none,0.63,0.67,0.7,F
174,group C,bachelor's degree,free/reduced,completed,0.43,0.51,0.54,F
175,group C,master's degree,standard,completed,0.81,0.91,0.87,F
176,group B,high school,free/reduced,completed,0.46,0.54,0.58,F
177,group C,associate's degree,standard,completed,0.71,0.77,0.77,F
178,group B,master's degree,free/reduced,completed,0.52,0.7,0.62,F
179,group D,some high school,standard,completed,0.97,1.0,1.0,F
180,group C,master's degree,free/reduced,completed,0.62,0.68,0.75,M
181,group C,some college,free/reduced,none,0.46,0.64,0.66,F
182,group E,high school,standard,none,0.5,0.5,0.47,F
183,group D,associate's degree,standard,none,0.65,0.69,0.7,F
184,group C,some high school,free/reduced,completed,0.45,0.52,0.49,M
185,group C,associate's degree,free/reduced,completed,0.65,0.67,0.65,M
186,group E,high school,standard,none,0.8,0.76,0.65,M
187,group D,some high school,standard,completed,0.62,0.66,0.68,M
188,group B,some high school,free/reduced,none,0.48,0.52,0.45,M
189,group C,bachelor's degree,standard,none,0.77,0.88,0.87,F
190,group E,associate's degree,standard,none,0.66,0.65,0.69,F
191,group D,some college,standard,completed,0.76,0.83,0.79,M
192,group B,some high school,standard,none,0.62,0.64,0.66,F
193,group D,some college,standard,completed,0.77,0.62,0.62,M
194,group C,master's degree,standard,completed,0.69,0.84,0.85,F
195,group D,associate's degree,standard,none,0.61,0.55,0.52,M
196,group C,some high school,free/reduced,completed,0.59,0.69,0.65,M
197,group E,high school,free/reduced,none,0.55,0.56,0.51,M
198,group B,some college,free/reduced,none,0.45,0.53,0.55,F
199,group B,bachelor's degree,free/reduced,none,0.78,0.79,0.76,F
200,group C,associate's degree,standard,completed,0.67,0.84,0.86,F
201,group D,some college,free/reduced,none,0.65,0.81,0.77,F
202,group C,associate's degree,standard,none,0.69,0.77,0.69,M
203,group B,associate's degree,standard,none,0.57,0.69,0.68,F
204,group C,some college,standard,none,0.59,0.41,0.42,M
205,group D,some high school,standard,completed,0.74,0.71,0.78,M
206,group E,bachelor's degree,standard,none,0.82,0.62,0.62,M
207,group E,high school,standard,completed,0.81,0.8,0.76,M
208,group B,some college,free/reduced,none,0.74,0.81,0.76,F
209,group B,some college,free/reduced,none,0.58,0.61,0.66,F
210,group D,some high school,free/reduced,completed,0.8,0.79,0.79,M
211,group C,some college,free/reduced,none,0.35,0.28,0.27,M
212,group C,high school,free/reduced,none,0.42,0.62,0.6,F
213,group C,associate's degree,free/reduced,completed,0.6,0.51,0.56,M
214,group E,high school,standard,completed,0.87,0.91,0.81,M
215,group B,some high school,standard,completed,0.84,0.83,0.75,M
216,group E,associate's degree,free/reduced,completed,0.83,0.86,0.88,F
217,group C,high school,free/reduced,none,0.34,0.42,0.39,F
218,group B,high school,free/reduced,none,0.66,0.77,0.7,M
219,group B,some high school,standard,completed,0.61,0.56,0.56,M
220,group D,high school,standard,completed,0.56,0.68,0.74,F
221,group B,associate's degree,standard,none,0.87,0.85,0.73,M
222,group C,some high school,free/reduced,none,0.55,0.65,0.62,F
223,group D,some high school,standard,none,0.86,0.8,0.75,M
224,group B,associate's degree,standard,completed,0.52,0.66,0.73,F
225,group E,master's degree,free/reduced,none,0.45,0.56,0.54,F
226,group C,some college,standard,none,0.72,0.72,0.71,F
227,group D,high school,standard,none,0.57,0.5,0.54,M
228,group A,some high school,free/reduced,none,0.68,0.72,0.64,M
229,group C,some college,standard,completed,0.88,0.95,0.94,F
230,group D,some college,standard,none,0.76,0.64,0.66,M
231,group C,associate's degree,standard,none,0.46,0.43,0.42,M
232,group B,bachelor's degree,standard,none,0.67,0.86,0.83,F
233,group E,some high school,standard,none,0.92,0.87,0.78,M
234,group C,bachelor's degree,standard,completed,0.83,0.82,0.84,M
235,group D,associate's degree,standard,none,0.8,0.75,0.77,M
236,group D,bachelor's degree,free/reduced,none,0.63,0.66,0.67,M
237,group D,some high school,standard,completed,0.64,0.6,0.74,F
238,group B,some college,standard,none,0.54,0.52,0.51,M
239,group C,associate's degree,standard,none,0.84,0.8,0.8,M
240,group D,high school,free/reduced,completed,0.73,0.68,0.66,M
241,group E,bachelor's degree,standard,none,0.8,0.83,0.83,F
242,group D,high school,standard,none,0.56,0.52,0.55,F
243,group E,some college,standard,none,0.59,0.51,0.43,M
244,group D,some high school,standard,none,0.75,0.74,0.69,M
245,group C,associate's degree,standard,none,0.85,0.76,0.71,M
246,group E,associate's degree,standard,none,0.89,0.76,0.74,M
247,group B,high school,standard,completed,0.58,0.7,0.68,F
248,group B,high school,standard,none,0.65,0.64,0.62,F
249,group C,high school,standard,none,0.68,0.6,0.53,M
250,group A,some high school,standard,completed,0.47,0.49,0.49,M
251,group D,some college,free/reduced,none,0.71,0.83,0.83,F
252,group B,some high school,standard,completed,0.6,0.7,0.7,F
253,group D,master's degree,standard,none,0.8,0.8,0.72,M
254,group D,high school,standard,none,0.54,0.52,0.52,M
255,group E,some college,standard,none,0.62,0.73,0.7,F
256,group C,associate's degree,free/reduced,none,0.64,0.73,0.68,F
257,group C,associate's degree,standard,completed,0.78,0.77,0.77,M
258,group B,some college,standard,none,0.7,0.75,0.78,F
259,group C,master's degree,free/reduced,completed,0.65,0.81,0.81,F
260,group C,some high school,free/reduced,completed,0.64,0.79,0.77,F
261,group C,some college,standard,completed,0.79,0.79,0.78,M
262,group C,some high school,free/reduced,none,0.44,0.5,0.51,F
263,group E,high school,standard,none,0.99,0.93,0.9,F
264,group D,high school,standard,none,0.76,0.73,0.68,M
265,group D,some high school,free/reduced,none,0.59,0.42,0.41,M
266,group C,bachelor's degree,standard,none,0.63,0.75,0.81,F
267,group D,high school,standard,none,0.69,0.72,0.77,F
268,group D,associate's degree,standard,completed,0.88,0.92,0.95,F
269,group E,some college,free/reduced,none,0.71,0.76,0.7,F
270,group C,bachelor's degree,standard,none,0.69,0.63,0.61,M
271,group C,some college,standard,none,0.58,0.49,0.42,M
272,group D,associate's degree,free/reduced,none,0.47,0.53,0.58,F
273,group D,some college,standard,none,0.65,0.7,0.71,F
274,group B,some college,standard,completed,0.88,0.85,0.76,M
275,group C,bachelor's degree,standard,none,0.83,0.78,0.73,M
276,group C,some high school,standard,completed,0.85,0.92,0.93,F
277,group E,high school,standard,completed,0.59,0.63,0.75,F
278,group C,some high school,free/reduced,none,0.65,0.86,0.8,F
279,group B,bachelor's degree,free/reduced,none,0.73,0.56,0.57,M
280,group D,high school,standard,none,0.53,0.52,0.42,M
281,group D,high school,standard,none,0.45,0.48,0.46,M
282,group D,bachelor's degree,free/reduced,none,0.73,0.79,0.84,F
283,group D,some college,free/reduced,completed,0.7,0.78,0.78,F
284,group B,some high school,standard,none,0.37,0.46,0.46,F
285,group B,associate's degree,standard,completed,0.81,0.82,0.82,M
286,group E,associate's degree,standard,completed,0.97,0.82,0.88,M
287,group B,some high school,standard,none,0.67,0.89,0.82,F
288,group B,bachelor's degree,free/reduced,none,0.88,0.75,0.76,M
289,group E,some high school,standard,completed,0.77,0.76,0.77,M
290,group C,associate's degree,standard,none,0.76,0.7,0.68,M
291,group D,some high school,standard,none,0.86,0.73,0.7,M
292,group C,some high school,standard,completed,0.63,0.6,0.57,M
293,group E,bachelor's degree,standard,none,0.65,0.73,0.75,F
294,group D,high school,free/reduced,completed,0.78,0.77,0.8,M
295,group B,associate's degree,free/reduced,none,0.67,0.62,0.6,M
296,group A,some high school,standard,completed,0.46,0.41,0.43,M
297,group E,associate's degree,standard,completed,0.71,0.74,0.68,M
298,group C,high school,free/reduced,completed,0.4,0.46,0.5,M
299,group D,associate's degree,free/reduced,none,0.9,0.87,0.75,M
300,group A,some college,free/reduced,completed,0.81,0.78,0.81,M
301,group D,some high school,free/reduced,none,0.56,0.54,0.52,M
302,group C,associate's degree,standard,completed,0.67,0.84,0.81,F
303,group B,associate's degree,standard,none,0.8,0.76,0.64,M
304,group C,associate's degree,standard,completed,0.74,0.75,0.83,F
305,group A,some college,standard,none,0.69,0.67,0.69,M
306,group E,some college,standard,completed,0.99,0.87,0.81,M
307,group C,some high school,standard,none,0.51,0.52,0.44,M
308,group B,associate's degree,free/reduced,none,0.53,0.71,0.67,F
309,group D,high school,free/reduced,none,0.49,0.57,0.52,F
310,group B,associate's degree,standard,none,0.73,0.76,0.8,F
311,group B,bachelor's degree,standard,none,0.66,0.6,0.57,M
312,group D,bachelor's degree,standard,completed,0.67,0.61,0.68,M
313,group C,associate's degree,free/reduced,completed,0.68,0.67,0.69,F
314,group C,bachelor's degree,standard,completed,0.59,0.64,0.75,F
315,group C,high school,standard,none,0.71,0.66,0.65,M
316,group D,master's degree,standard,completed,0.77,0.82,0.91,F
317,group C,associate's degree,standard,none,0.83,0.72,0.78,M
318,group B,bachelor's degree,standard,none,0.63,0.71,0.69,M
319,group D,associate's degree,free/reduced,none,0.56,0.65,0.63,F
320,group C,high school,free/reduced,completed,0.67,0.79,0.84,F
321,group E,high school,standard,none,0.75,0.86,0.79,F
322,group C,some college,standard,none,0.71,0.81,0.8,F
323,group C,some high school,free/reduced,none,0.43,0.53,0.53,F
324,group C,high school,free/reduced,none,0.41,0.46,0.43,F
325,group C,some college,standard,none,0.82,0.9,0.94,F
326,group C,some college,standard,none,0.61,0.61,0.62,M
327,group A,some college,free/reduced,none,0.28,0.23,0.19,M
328,group C,associate's degree,standard,completed,0.82,0.75,0.77,M
329,group B,some high school,standard,none,0.41,0.55,0.51,F
330,group C,high school,standard,none,0.71,0.6,0.61,M
331,group C,associate's degree,standard,none,0.47,0.37,0.35,M
332,group E,associate's degree,standard,completed,0.62,0.56,0.53,M
333,group B,associate's degree,standard,none,0.9,0.78,0.81,M
334,group C,bachelor's degree,standard,none,0.83,0.93,0.95,F
335,group B,some college,free/reduced,none,0.61,0.68,0.66,F
336,group D,some high school,standard,completed,0.76,0.7,0.69,M
337,group C,associate's degree,standard,none,0.49,0.51,0.43,M
338,group B,some high school,free/reduced,none,0.24,0.38,0.27,F
339,group D,some high school,free/reduced,completed,0.35,0.55,0.6,F
340,group C,high school,free/reduced,none,0.58,0.61,0.52,M
341,group C,high school,standard,none,0.61,0.73,0.63,F
342,group B,high school,standard,completed,0.69,0.76,0.74,F
343,group D,associate's degree,standard,completed,0.67,0.72,0.67,M
344,group D,some college,standard,none,0.79,0.73,0.67,M
345,group C,high school,standard,none,0.72,0.8,0.75,F
346,group B,some college,standard,none,0.62,0.61,0.57,M
347,group C,bachelor's degree,standard,completed,0.77,0.94,0.95,F
348,group D,high school,free/reduced,none,0.75,0.74,0.66,M
349,group E,associate's degree,standard,none,0.87,0.74,0.76,M
350,group B,bachelor's degree,standard,none,0.52,0.65,0.69,F
351,group E,some college,standard,none,0.66,0.57,0.52,M
352,group C,some college,standard,completed,0.63,0.78,0.8,F
353,group C,associate's degree,standard,none,0.46,0.58,0.57,F
354,group C,some college,standard,none,0.59,0.71,0.7,F
355,group B,bachelor's degree,standard,none,0.61,0.72,0.7,F
356,group A,associate's degree,standard,none,0.63,0.61,0.61,M
357,group C,some college,free/reduced,completed,0.42,0.66,0.69,F
358,group D,some college,free/reduced,none,0.59,0.62,0.61,M
359,group D,some college,standard,none,0.8,0.9,0.89,F
360,group B,high school,standard,none,0.58,0.62,0.59,F
361,group B,some high school,standard,completed,0.85,0.84,0.78,M
362,group C,some college,standard,none,0.52,0.58,0.58,F
363,group D,some high school,free/reduced,none,0.27,0.34,0.32,F
364,group C,some college,standard,none,0.59,0.6,0.58,M
365,group A,bachelor's degree,free/reduced,completed,0.49,0.58,0.6,M
366,group C,high school,standard,completed,0.69,0.58,0.53,M
367,group C,bachelor's degree,free/reduced,none,0.61,0.66,0.61,M
368,group A,some high school,free/reduced,none,0.44,0.64,0.58,F
369,group D,some high school,standard,none,0.73,0.84,0.85,F
370,group E,some college,standard,none,0.84,0.77,0.71,M
371,group C,some college,free/reduced,completed,0.45,0.73,0.7,F
372,group D,some high school,standard,none,0.74,0.74,0.72,M
373,group D,some college,standard,completed,0.82,0.97,0.96,F
374,group D,bachelor's degree,standard,none,0.59,0.7,0.73,F
375,group E,associate's degree,free/reduced,none,0.46,0.43,0.41,M
376,group D,some high school,standard,none,0.8,0.9,0.82,F
377,group D,master's degree,free/reduced,completed,0.85,0.95,1.0,F
378,group A,some high school,standard,none,0.71,0.83,0.77,F
379,group A,bachelor's degree,standard,none,0.66,0.64,0.62,M
380,group B,associate's degree,standard,none,0.8,0.86,0.83,F
381,group C,associate's degree,standard,completed,0.87,1.0,0.95,M
382,group C,master's degree,free/reduced,none,0.79,0.81,0.71,M
383,group E,some high school,free/reduced,none,0.38,0.49,0.45,F
384,group A,some high school,free/reduced,none,0.38,0.43,0.43,F
385,group E,some college,standard,none,0.67,0.76,0.75,F
386,group E,bachelor's degree,standard,none,0.64,0.73,0.7,F
387,group C,associate's degree,free/reduced,none,0.57,0.78,0.67,F
388,group D,high school,standard,none,0.62,0.64,0.64,F
389,group D,master's degree,standard,none,0.73,0.7,0.75,M
390,group E,some high school,free/reduced,completed,0.73,0.67,0.59,M
391,group D,some college,standard,none,0.77,0.68,0.77,F
392,group E,some college,standard,none,0.76,0.67,0.67,M
393,group C,associate's degree,standard,completed,0.57,0.54,0.56,M
394,group C,some high school,standard,completed,0.65,0.74,0.77,F
395,group A,high school,free/reduced,none,0.48,0.45,0.41,M
396,group B,high school,free/reduced,none,0.5,0.67,0.63,F
397,group C,associate's degree,standard,none,0.85,0.89,0.95,F
398,group B,some high school,standard,none,0.74,0.63,0.57,M
399,group D,some high school,standard,none,0.6,0.59,0.54,M
400,group C,some high school,standard,completed,0.59,0.54,0.67,F
401,group A,some college,standard,none,0.53,0.43,0.43,M
402,group A,some college,free/reduced,none,0.49,0.65,0.55,F
403,group D,high school,standard,completed,0.88,0.99,1.0,F
404,group C,high school,standard,none,0.54,0.59,0.62,F
405,group C,some high school,standard,none,0.63,0.73,0.68,F
406,group B,associate's degree,standard,completed,0.65,0.65,0.63,M
407,group B,associate's degree,standard,none,0.82,0.8,0.77,F
408,group D,high school,free/reduced,completed,0.52,0.57,0.56,F
409,group D,associate's degree,standard,completed,0.87,0.84,0.85,M
410,group D,master's degree,standard,completed,0.7,0.71,0.74,F
411,group E,some college,standard,completed,0.84,0.83,0.78,M
412,group D,associate's degree,standard,none,0.71,0.66,0.6,M
413,group B,some high school,standard,completed,0.63,0.67,0.67,M
414,group C,bachelor's degree,free/reduced,completed,0.51,0.72,0.79,F
415,group E,high school,standard,none,0.84,0.73,0.69,M
416,group C,bachelor's degree,standard,completed,0.71,0.74,0.68,M
417,group C,associate's degree,standard,none,0.74,0.73,0.67,M
418,group D,some college,standard,none,0.68,0.59,0.62,M
419,group E,high school,free/reduced,completed,0.57,0.56,0.54,M
420,group C,associate's degree,free/reduced,completed,0.82,0.93,0.93,F
421,group D,high school,standard,completed,0.57,0.58,0.64,F
422,group D,master's degree,free/reduced,completed,0.47,0.58,0.67,F
423,group A,some high school,standard,completed,0.59,0.85,0.8,F
424,group B,some college,free/reduced,none,0.41,0.39,0.34,M
425,group C,some college,free/reduced,none,0.62,0.67,0.62,F
426,group C,bachelor's degree,standard,none,0.86,0.83,0.86,M
427,group C,some high school,free/reduced,none,0.69,0.71,0.65,M
428,group A,some high school,free/reduced,none,0.65,0.59,0.53,M
429,group C,some high school,free/reduced,none,0.68,0.63,0.54,M
430,group C,associate's degree,free/reduced,none,0.64,0.66,0.59,M
431,group C,high school,standard,none,0.61,0.72,0.7,F
432,group C,high school,standard,none,0.61,0.56,0.55,M
433,group A,some high school,free/reduced,none,0.47,0.59,0.5,F
434,group C,some high school,standard,none,0.73,0.66,0.66,M
435,group C,some college,free/reduced,completed,0.5,0.48,0.53,M
436,group D,associate's degree,standard,none,0.75,0.68,0.64,M
437,group D,associate's degree,free/reduced,none,0.75,0.66,0.73,M
438,group C,high school,standard,none,0.7,0.56,0.51,M
439,group D,some high school,standard,completed,0.89,0.88,0.82,M
440,group C,some college,standard,completed,0.67,0.81,0.79,F
441,group D,high school,standard,none,0.78,0.81,0.8,F
442,group A,some high school,free/reduced,none,0.59,0.73,0.69,F
443,group B,associate's degree,standard,none,0.73,0.83,0.76,F
444,group A,some high school,free/reduced,none,0.79,0.82,0.73,M
445,group C,some high school,standard,completed,0.67,0.74,0.77,F
446,group D,some college,free/reduced,none,0.69,0.66,0.6,M
447,group C,high school,standard,completed,0.86,0.81,0.8,M
448,group B,high school,standard,none,0.47,0.46,0.42,M
449,group B,associate's degree,standard,none,0.81,0.73,0.72,M
450,group C,some college,free/reduced,completed,0.64,0.85,0.85,F
451,group E,some college,standard,none,1.0,0.92,0.97,F
452,group C,associate's degree,free/reduced,none,0.65,0.77,0.74,F
453,group C,some college,free/reduced,none,0.65,0.58,0.49,M
454,group C,associate's degree,free/reduced,none,0.53,0.61,0.62,F
455,group C,bachelor's degree,free/reduced,none,0.37,0.56,0.47,M
456,group D,bachelor's degree,standard,none,0.79,0.89,0.89,F
457,group D,associate's degree,free/reduced,none,0.53,0.54,0.48,M
458,group E,bachelor's degree,standard,none,1.0,1.0,1.0,F
459,group B,high school,standard,completed,0.72,0.65,0.68,M
460,group C,bachelor's degree,free/reduced,none,0.53,0.58,0.55,M
461,group B,some college,free/reduced,none,0.54,0.54,0.45,M
462,group E,some college,standard,none,0.71,0.7,0.76,F
463,group C,some college,free/reduced,none,0.77,0.9,0.91,F
